audio_link,label
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_21.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_35.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_34.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_20.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_36.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_22.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_23.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_37.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_33.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_27.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_26.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_32.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_18.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_24.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_30.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_31.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_25.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_19.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_42.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_56.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_81.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_95.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_102.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_103.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_94.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_80.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_57.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_43.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_55.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_41.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_69.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_96.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_82.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_101.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_100.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_83.wav,silence
/Users/ankitpokhrel/Desktop/infant_cry_detection/backend/model/large_dataset/baby_cry_sound/silence/silence.wav_97.wav,silence
